entity_cd,entity_name,year,district_cd,district_name,county_cd,county_name,num_teach,teach_oc,teach_inexp,needs_index,pupil_count,expenditures,overall_status,cccr_level,ela,social_studies,science,math,combined_test,grad_rate_6,grad_rate_5,grad_rate_4,grad_rate_combined
061001040005,MAPLE GROVE JUNIOR/SENIOR HIGH SCHOOL,2019,06100104,BEMUS POINT CENTRAL SCHOOL DISTRICT,06,CHAUTAUQUA,39,0.923076923076923,0.102564102564103,5,379,12909,Good Standing,4,220.7,234.5,226.7,200.9,217,91.4,94.5,95,97
010100010034,ALBANY HIGH SCHOOL,2019,01010001,ALBANY CITY SCHOOL DISTRICT,01,ALBANY,210,0.814285714285714,0.142857142857143,3,2548,13272,Good Standing,3,159.1,191,177.6,101.9,147.7,67.8,70.3,70.8,72.2
010201040001,BERNE-KNOX-WESTERLO JUNIOR-SENIOR HIGH SCHOOL,2019,01020104,BERNE-KNOX-WESTERLO CENTRAL SCHOOL DISTRICT,01,ALBANY,45,0.955555555555556,0.155555555555556,5,347,18944,Good Standing,4,191,215,204,120,172.9,94.6,94.5,96.7,92.3
010306060008,BETHLEHEM CENTRAL SENIOR HIGH SCHOOL,2019,01030606,BETHLEHEM CENTRAL SCHOOL DISTRICT,01,ALBANY,120,0.891666666666667,0.116666666666667,6,1559,11479,Good Standing,4,227.7,242.7,236.4,191.7,219.3,95.7,95.6,95.4,95.7
010402060001,RAVENA-COEYMANS-SELKIRK SENIOR HIGH SCHOOL,2019,01040206,RAVENA-COEYMANS-SELKIRK CENTRAL SCHOOL DISTRICT,01,ALBANY,58,0.96551724137931,0.103448275862069,5,557,13623,Good Standing,4,177.2,215.6,211.2,133.3,174.4,90,88.2,88.7,86
010500010007,COHOES HIGH SCHOOL,2019,01050001,COHOES CITY SCHOOL DISTRICT,01,ALBANY,55,0.909090909090909,0.109090909090909,3,539,15558,Good Standing,3,145.8,195,191.7,112.9,150.5,74.6,79.6,85.4,78.8
010601060008,COLONIE CENTRAL HIGH SCHOOL,2019,01060106,SOUTH COLONIE CENTRAL SCHOOL DISTRICT,01,ALBANY,124,0.943548387096774,0.0645161290322581,5,1510,15289,Good Standing,4,183.8,223.5,211.5,147,182.1,91.8,92.7,94.3,92
010623060010,SHAKER HIGH SCHOOL,2019,01062306,NORTH COLONIE CSD,01,ALBANY,181,0.839779005524862,0.0828729281767956,6,2023,12908,Good Standing,4,216.6,233.5,229.7,193.2,213.6,94.8,95.3,95.4,95.7
010701030001,HEATLY SCHOOL,2019,01070103,GREEN ISLAND UNION FREE SCHOOL DISTRICT,01,ALBANY,33,1,0.121212121212121,3,267,14694,Good Standing,3,151.9,179.6,196.3,96.3,146.3,75,78.8,87.5,73.8
010802060005,GUILDERLAND HIGH SCHOOL,2019,01080206,GUILDERLAND CENTRAL SCHOOL DISTRICT,01,ALBANY,135,0.940740740740741,0.125925925925926,6,1524,15472,Good Standing,4,210.6,237.4,231.4,180.5,208.2,95.1,95.7,95.9,96.1
011003060002,CLAYTON A BOUTON HIGH SCHOOL,2019,01100306,VOORHEESVILLE CENTRAL SCHOOL DISTRICT,01,ALBANY,45,0.711111111111111,0.133333333333333,6,360,19006,Good Standing,4,205.3,239.9,238.3,197.9,214,98.1,97.6,97.9,96.9
061503040003,FORESTVILLE CENTRAL HIGH SCHOOL,2019,06150304,FORESTVILLE CENTRAL SCHOOL DISTRICT,06,CHAUTAUQUA,28,0.928571428571429,0.107142857142857,5,223,14370,Good Standing,4,185.5,213.8,215.2,158.7,186.3,93.2,95.3,94.6,98.2
061700010013,JAMESTOWN HIGH SCHOOL,2019,06170001,JAMESTOWN CITY SCHOOL DISTRICT,06,CHAUTAUQUA,106,0.962264150943396,0.0754716981132075,3,1352,6656,Good Standing,1,172.8,197.1,197.8,139.6,170,76.6,78.8,81.1,78.8
062201060003,FREDONIA HIGH SCHOOL,2019,06220106,FREDONIA CENTRAL SCHOOL DISTRICT,06,CHAUTAUQUA,55,0.690909090909091,0.127272727272727,5,466,16668,Good Standing,4,187.9,234.7,222.2,185.9,200.1,96.7,94.3,96.6,89.7
062301040003,BROCTON MIDDLE HIGH SCHOOL,2019,06230104,BROCTON CENTRAL SCHOOL DISTRICT,06,CHAUTAUQUA,31,0.838709677419355,0.0967741935483871,4,283,15185,Good Standing,4,156.3,204.7,210.9,145.3,170.1,97.6,94.6,93.3,92.9
062601040003,SHERMAN HIGH SCHOOL,2019,06260104,SHERMAN CENTRAL SCHOOL DISTRICT,06,CHAUTAUQUA,25,0.68,0.04,4,196,16660,Good Standing,4,204.4,236.7,227.8,143.3,192.8,91.7,94.7,95.6,96.8
062901040002,WESTFIELD HIGH SCHOOL,2019,06290104,WESTFIELD CENTRAL SCHOOL DISTRICT,06,CHAUTAUQUA,30,0.433333333333333,0,4,218,10812,Good Standing,3,188.2,224.5,220.9,169.1,193.1,83,88,92.9,88
070901060007,HORSEHEADS SENIOR HIGH SCHOOL,2019,07090106,HORSEHEADS CENTRAL SCHOOL DISTRICT,07,CHEMUNG,89,0.98876404494382,0.0561797752808989,5,1335,12911,Good Standing,4,190,228,222.5,146.4,186.9,89.1,89.7,90.1,90
080101040003,AFTON JUNIOR/SENIOR HIGH SCHOOL,2019,08010104,AFTON CENTRAL SCHOOL DISTRICT,08,CHENANGO,34,0.794117647058823,0.205882352941176,4,247,17973,Good Standing,3,190.9,204.5,206.1,119.7,172.1,78.8,87.8,86.8,97.7
011200010010,WATERVLIET JUNIOR-SENIOR HIGH SCHOOL,2019,01120001,WATERVLIET CITY SCHOOL DISTRICT,01,ALBANY,55,1.01818181818182,0.0909090909090909,3,567,9862,Good Standing,4,164.5,202.3,199.4,123.8,162.9,72.2,77.8,80.7,80.6
020101040002,ALFRED-ALMOND JUNIOR-SENIOR HIGH SCHOOL,2019,02010104,ALFRED-ALMOND CENTRAL SCHOOL DISTRICT,02,ALLEGANY,30,0.866666666666667,0.233333333333333,5,289,15797,Good Standing,4,203.2,238.3,229.8,171.3,202.4,89.6,94.4,97.6,96.1
